Date	Daily minimum temperature	Daily maximum temperature	Maximum steady wind	Maximum wind gust	Total daily precipitation	Snow depth	Pressure	Icon	Description
4/7/16	48¡F	59¡F	18 Mph	30 Mph	0in	N/A	1003.9mb		weather events not reported
4/8/16	34¡F	39¡F	18 Mph	26 Mph	0.01in	N/A	N/A		Snowfall
									Rain
4/9/16	30¡F	39¡F	25 Mph	45 Mph	0.06in	N/A	1012.1mb		Snowfall
									Rain
4/10/16	24¡F	27¡F	8 Mph	N/A	0.07in	N/A	1025.6mb		weather events not reported
4/11/16	43¡F	52¡F	N/A	20 Mph	0.01in	N/A	1017.1mb		Rain
4/12/16	43¡F	55¡F	16 Mph	26 Mph	0.55in	N/A	1013.5mb		Rain
4/13/16	33¡F	41¡F	10 Mph	N/A	0.04in	N/A	1028.7mb		weather events not reported
4/14/16	38¡F	67¡F	8 Mph	N/A	0in	N/A	1024.8mb		weather events not reported
4/15/16	49¡F	59¡F	8 Mph	N/A	0in	N/A	1024.2mb		weather events not reported
4/16/16	51¡F	61¡F	9 Mph	N/A	0in	N/A	1027.0mb		weather events not reported
4/17/16	62¡F	68¡F	5 Mph	N/A	0in	N/A	1028.1mb		weather events not reported
4/18/16	62¡F	74¡F	8 Mph	N/A	0in	N/A	1026.5mb		weather events not reported
4/19/16	54¡F	81¡F	13 Mph	22 Mph	0in	N/A	1020.8mb		weather events not reported
4/20/16	50¡F	61¡F	N/A	N/A	0in	N/A	1023.0mb		weather events not reported
4/21/16	58¡F	66¡F	7 Mph	N/A	0in	N/A	1018.4mb		weather events not reported
4/22/16	60¡F	66¡F	8 Mph	N/A	0in	N/A	1012.6mb		weather events not reported
4/23/16	55¡F	59¡F	14 Mph	21 Mph	0in	N/A	1012.6mb		weather events not reported
4/24/16	44¡F	52¡F	13 Mph	N/A	0in	N/A	1019.1mb		weather events not reported
4/25/16	56¡F	65¡F	5 Mph	N/A	0in	N/A	1015.8mb		weather events not reported
4/26/16	69¡F	74¡F	14 Mph	20 Mph	0in	N/A	1008.0mb		weather events not reported
4/27/16	51¡F	63¡F	9 Mph	N/A	0in	N/A	1009.7mb		weather events not reported
4/28/16	54¡F	58¡F	6 Mph	N/A	0in	N/A	1012.2mb		weather events not reported
4/29/16	46¡F	49¡F	8 Mph	N/A	0in	N/A	N/A		weather events not reported
4/30/16	47¡F	52¡F	10 Mph	N/A	0in	N/A	1019.8mb		Rain
3/1/16	34¡F	67¡F	31 Mph	54 Mph	0in	N/A	1013.2mb		Rain
3/2/16	36¡F	57¡F	29 Mph	42 Mph	0.42in	N/A	999.5mb		Rain
3/3/16	21¡F	28¡F	10 Mph	20 Mph	0in	N/A	1023.3mb		weather events not reported
3/4/16	30¡F	32¡F	3 Mph	N/A	0.03in	N/A	N/A		Snowfall
3/5/16	31¡F	32¡F	7 Mph	N/A	0.03in	N/A	1022.4mb		weather events not reported
3/6/16	35¡F	39¡F	5 Mph	N/A	0in	N/A	1020.9mb		Snowfall
3/7/16	34¡F	39¡F	10 Mph	N/A	0in	N/A	1023.4mb		weather events not reported
3/8/16	54¡F	59¡F	9 Mph	N/A	0in	N/A	1019.6mb		weather events not reported
3/9/16	50¡F	74¡F	23 Mph	34 Mph	0in	N/A	1018.8mb		weather events not reported
3/10/16	58¡F	67¡F	16 Mph	28 Mph	0in	N/A	1016.9mb		Rain
3/11/16	41¡F	65¡F	15 Mph	23 Mph	0.51in	N/A	1023.5mb		Rain
3/12/16	39¡F	68¡F	6 Mph	N/A	0.11in	N/A	1023.0mb		weather events not reported
3/13/16	51¡F	63¡F	14 Mph	N/A	0in	N/A	1014.9mb		Rain
3/14/16	49¡F	51¡F	13 Mph	N/A	N/A	N/A	1011.0mb		Rain
3/15/16	50¡F	52¡F	13 Mph	20 Mph	0in	N/A	N/A		Rain
3/16/16	52¡F	55¡F	7 Mph	N/A	0in	N/A	1009.9mb		weather events not reported
3/17/16	53¡F	58¡F	14 Mph	25 Mph	0in	N/A	1011.6mb		weather events not reported
3/18/16	45¡F	50¡F	13 Mph	N/A	0in	N/A	1013.1mb		weather events not reported
3/19/16	36¡F	45¡F	10 Mph	21 Mph	0in	N/A	1017.9mb		weather events not reported
3/20/16	38¡F	39¡F	9 Mph	N/A	0in	N/A	1018.5mb		weather events not reported
3/21/16	27¡F	41¡F	18 Mph	29 Mph	0.08in	N/A	1017.5mb		Snowfall
3/22/16	34¡F	37¡F	5 Mph	N/A	0in	N/A	1020.3mb		weather events not reported
